,Unnamed: 0,batsman,bowler,batsman_runs,total_runs,dismissals,balls,strike_rate,economy,bowler_strike_rate,bowler_average,metric
0,0,DA Warner,TS Mills,4.0,6.0,0.1,5.0,80.0,7.2,50.0,60.0,0.2692845474810496
1,5,S Dhawan,TS Mills,2.0,3.0,0.1,4.0,50.0,4.5,40.0,30.0,0.08415142108782792
2,7,S Dhawan,A Choudhary,3.0,3.0,0.1,5.0,60.0,3.6,50.0,30.0,0.10098170530539352
3,8,DA Warner,A Choudhary,10.0,11.0,1.0,4.0,250.0,16.5,4.0,11.0,0.15427760532768464
4,12,MC Henriques,A Choudhary,6.0,6.0,0.1,4.0,150.0,9.0,40.0,60.0,0.5049085265269679
5,15,MC Henriques,TS Mills,4.0,4.0,0.1,4.0,100.0,6.0,40.0,40.0,0.22440378956754126
6,20,MC Henriques,YS Chahal,36.0,36.0,1.0,23.0,156.52173913043478,9.391304347826088,23.0,36.0,0.3161166426951451
7,22,S Dhawan,YS Chahal,36.0,36.0,1.0,36.0,100.0,6.0,36.0,36.0,0.20196341061078715
8,26,S Dhawan,S Aravind,8.0,8.0,0.1,9.0,88.88888888888889,5.333333333333333,90.0,80.0,0.39894007034229567
9,27,MC Henriques,S Aravind,21.0,21.0,0.1,10.0,210.0,12.6,100.0,210.0,2.474051779982143
10,32,S Dhawan,SR Watson,61.0,62.0,2.0,51.0,119.6078431372549,7.294117647058823,25.5,31.0,0.2080135127805003
11,44,S Dhawan,TM Head,3.0,3.0,0.1,3.0,100.0,6.0,30.0,30.0,0.16830284217565594
12,45,MC Henriques,TM Head,8.0,8.0,0.1,3.0,266.6666666666667,16.0,30.0,80.0,1.1968202110268868
13,62,MC Henriques,STR Binny,2.0,2.0,0.1,2.0,100.0,6.0,20.0,20.0,0.11220189478377063
14,63,S Dhawan,STR Binny,10.0,10.0,1.0,7.0,142.85714285714286,8.571428571428571,7.0,10.0,0.08014421055983623
15,66,Yuvraj Singh,STR Binny,14.0,14.0,0.1,8.0,175.0,10.5,80.0,140.0,1.3744732111011908
16,69,Yuvraj Singh,S Aravind,21.0,21.0,0.1,11.0,190.9090909090909,11.454545454545455,110.0,210.0,2.2491379818019483
17,74,Yuvraj Singh,A Choudhary,22.0,25.0,0.1,11.0,200.0,13.636363636363637,110.0,250.0,2.8050473695942664
18,81,Yuvraj Singh,SR Watson,50.0,56.0,0.1,35.0,142.85714285714286,9.6,350.0,560.0,4.488075791350827
19,83,MC Henriques,SR Watson,16.0,17.0,1.0,17.0,94.11764705882354,6.0,17.0,17.0,0.08976151582701652
20,95,Yuvraj Singh,YS Chahal,23.0,23.0,1.0,15.0,153.33333333333334,9.2,15.0,23.0,0.19784934113538222
21,96,DJ Hooda,YS Chahal,4.0,5.0,1.0,7.0,57.142857142857146,4.285714285714286,7.0,5.0,0.0160288421119672
22,99,DJ Hooda,TS Mills,3.0,3.0,0.1,5.0,60.0,3.6,50.0,30.0,0.10098170530539352
23,100,Yuvraj Singh,TS Mills,15.0,15.0,1.0,6.0,250.0,15.0,6.0,15.0,0.21037855271956996
24,105,DJ Hooda,A Choudhary,10.0,10.0,0.1,4.0,250.0,15.0,40.0,100.0,1.4025236847971334
25,117,BCJ Cutting,TS Mills,1.0,1.0,0.1,1.0,100.0,6.0,10.0,10.0,0.056100947391885314
26,119,BCJ Cutting,SR Watson,48.0,50.0,0.1,17.0,282.3529411764706,17.647058823529413,170.0,500.0,7.920133749442633
27,120,DJ Hooda,SR Watson,1.0,2.0,0.1,2.0,50.0,6.0,20.0,20.0,0.056100947391885314
28,125,CH Gayle,A Nehra,45.0,45.0,1.0,28.0,160.71428571428572,9.642857142857142,28.0,45.0,0.40573006595917066
29,126,Mandeep Singh,A Nehra,29.0,29.0,0.1,14.0,207.14285714285714,12.428571428571429,140.0,290.0,3.3700640540411118
30,131,CH Gayle,B Kumar,104.0,109.0,1.0,72.0,144.44444444444446,9.083333333333334,72.0,109.0,0.8832782494922391
31,134,Mandeep Singh,B Kumar,31.0,31.0,0.1,23.0,134.7826086956522,8.08695652173913,230.0,310.0,2.344043932330513
32,150,CH Gayle,BCJ Cutting,23.0,25.0,1.0,16.0,143.75,9.375,16.0,25.0,0.20161277968958785
